ID,urgency,category,complaint
1,Urgent,Keamanan dan ketertiban,Siang pak.maaf.saya menginformasikan kpd Bpk.ada semacm spanduk trpampang diwilayah Rt.10.Rw.1.kalidres.Jak-Bar.yg memiliki indikasi ~provokasi^trimakasih seblumnya atas respon Bapak.Tuhan menyertai Bapak.dari Tirza
2,Not Urgent,Pelayanan Publik,Selamat sore pak ahok saya warga dari cengkareng timur pak kebetulan saya cuti hari ini untuk mengurus ktp saya yang hilang sekaligus untuk perpanjang stnk dari jam 9 pagi di kelurahan dsuruh mondar mandir ke rt rw semua syaa lakuin namun info yang saya terima ktp bisa keluar setelah 3 bulan dan saya minta tolong surat keterangan sementara dibuatkan kata petugas keluarnya baru esok sehingga saya tidak bisa perpanjang stnk
3,Not Urgent,Pelayanan Publik,"Siang pak.
Tolong ditindak lanjutin untuk kelurahan sukabumi selatan, kecamatan kebon jeruk. Kerja nya kacau pak. PENGURUSAN EKTP 4 BULAN BELUM SELESAI, PASUKAN ORANGE JARANG KERJA, HANYA DUDUK DAN FOTO!! Tolong perhatiannya pak. Dan disepanjang jalan pahlawan banyak gerobak sampah parkir dipinggir jalan, dan mohon mobil2 yg rumahnya tidak punya garasi tidak naro mobil dipinggir jalan, mengganggu jalan!! Mohon ditindak lanjutin pak"
4,Urgent,Transportasi,"Pak ahok, tolong di rombak halte grogol. Terutama sebelah kali grogol dekat citraland. Dekat tangga busway situ, pengamen pada ngumpul, anak jalanan, pedagang liar. Bnr2 gelap dan kumuh! Masalah ini sudah di laporkan berbulan2, namun tidak sepenuhnya tuntas. Belum lagi pengamen kerap duduk2 di besi pembatas jalan/pegangan untuk penjalan kaki. Trotoarnya juga sudah pecah! Sungguh kumuh. Mohon tambah lampu, relokasi pengamen, bus ngetem, pedagang liat, perbaiki trotoar untuk membuat aman dan rapi daerah situ ! Thanks. Gbu pak Ahok and team"
5,Not Urgent,Pekerjaan dan Ketenagakerjaan,Trs trang sja suami sy PPSU kantor lurah grogol tahun ini tdk di perpanjang lg kontrak kerjanya sbg PPSU
6,Not Urgent,Pekerjaan dan Ketenagakerjaan,Jelas ini ada permainan di kantor lurah grogol...skali lg sy mhon untuk bntuan bpk..
7,Not Urgent,Pekerjaan dan Ketenagakerjaan,y mhon ini untuk di tndak lnjutin pak..msa org yg tdk ikut test krja lapangan  wkt test melamar PPSU lsng lulus..
8,Urgent,Pekerjaan dan Ketenagakerjaan,Bahkan di kelurahan grogol PPSU pmakai narkoba msh di perpnjng kontrak krjanya...ini psti ada yg tdk beres di kntor kelurahan grogol…
9,Not Urgent,Pekerjaan dan Ketenagakerjaan,Slamat pg pak ahok..sy mau tanya s`btulnya prosedur persyaratan apa sja yg bs masuk untuk di perpnjangnya kontrak kerja sbg PPSU...??
10,Not Urgent,Pekerjaan dan Ketenagakerjaan,Dan perlu bpk ketahui di kntor lurah grogol ada kryawan status PPSU a/n.siti chodijah tp knyataannya dia hnya sbg OB kantor lurah grogol 
